Proposal_ID,Sampling_Set,Core_Section,Sample_Name,Bulk_density_g_per_cm3,Beta_Glucosidase_ug_pNP_per_g_per_h,GWC_percent,HClExtOM_TOC_mg_per_kg,HClExtOM_TN_mg_per_kg,Ca_meq_per_100g,Mg_meq_per_100g,Na_meq_per_100g,K_meq_per_100g,SO4_S_mg_per_kg,B_mg_per_kg,Zn_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Fe_mg_per_kg,MBC_mg_per_kg,MBN_mg_per_kg,NO3_N_mg_per_kg,NH4_N_mg_per_kg,PO4_P_mg_per_kg,pH,Sand_percent,Silt_percent,Clay_percent,WEOM_TOC_mg_per_kg,WEOM_TN_mg_per_kg,flag_Bulk_density,flag_Beta_Glucosidase,flag_GWC,flag_HClExtOM_TOC,flag_HClExtOM_TN,flag_Ca,flag_Mg,flag_Na,flag_K,flag_SO4S,flag_B,flag_Zn,flag_Mn,flag_Cu,flag_Fe,flag_MBC,flag_MBN,flag_NO3N,flag_NH4N,flag_P,flag_pH,flag_Texture,flag_WEOM_TOC,flag_WEOM_TN
61051,5,BTM,61051_5_BTM,0.99,,49.45,2620.39,115.42,,,,,,,,,,,150.24,22.47,,,52.38,5.55,,,,71.26,8.76,,Insufficient_Material,,,,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,,
61051,6,TOP,61051_6_TOP,0.59,29.9,86.1,4807.19,150.62,,,,,,,,,,,258.61,33.97,,,9.86,4.65,17.1,62.9,20.1,95.02,10.57,,,,,,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,Insufficient_Material,,,,,
61051,6,BTM,61051_6_BTM,1,,49.13,2855.33,74.24,,,,,,,,,,,135.79,11.24,,,6.24,5.09,16.9,63.1,20.1,15.93,2.35,,Below_Detection,,,,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,Insufficient_Material,,,,,
61051,7,TOP,61051_7_TOP,0.66,18.9,42.46,1458.67,43.49,,,,,,,,,,,286.12,20.02,,,9.36,4.8,25,52.9,22.1,336.07,5.73,,,,,,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,Insufficient_Material,,,,,
61051,7,BTM,61051_7_BTM,1.3,5.3,34.53,1707.41,41.48,,,,,,,,,,,29.74,2.48,,,1.84,5.3,21.1,56.9,22.1,26.44,0.94,,,,,,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,Insufficient_Material,,,,,
61051,8,TOP,61051_8_TOP,1.24,6.6,34.35,2009.73,54.65,1.1,0.45,0.05,0.14,4,1.03,0.64,15.5,1.5,322,187.06,11.43,,,2.92,5.1,21.1,54.9,24.1,156.04,2.24,,,,,,,,,,,,,,,,,,Insufficient_Material,Insufficient_Material,,,,,
61051,8,BTM,61051_8_BTM,1.24,6.7,37.75,1591.97,43.84,,,,,,,,,,,81.29,7.23,,,5.79,5.34,19,59,22.1,32.16,0.96,,,,,,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,Insufficient_Material,,,,,
61051,9,TOP,61051_9_TOP,0.81,14.5,101.52,2624.53,79.23,1.1,0.52,0.08,0.2,3,0.65,0.92,52.6,1.6,206,438.53,29.9,,,10.46,4.79,25.3,50.6,24.1,624.46,8.99,,,,,,,,,,,,,,,,,,Insufficient_Material,Insufficient_Material,,,,,
61051,9,BTM,61051_9_BTM,1.16,,33,761.86,24.76,,,,,,,,,,,120.39,6.43,,,1.34,5.53,17.2,60.7,22.1,28.58,0.76,,Below_Detection,,,,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,Insufficient_Material,,,,,
61078,1,TOP,61078_1_TOP,2.1,93.3,15.14,302.8,40.41,10.22,1.07,0.05,0.71,4,0.32,1.8,5.4,0.7,24,,,8.46,2.27,16.18,7.57,57.7,24.2,18.2,66.36,5.62,,,,,,,,,,,,,,,,Failed_QC,Failed_QC,,,,,,,
61078,1,BTM,61078_1_BTM,1.67,14.4,15.64,285.85,12.34,9.41,1.01,0.05,0.31,3,0.23,1.6,4.2,0.7,25,,,3.6,2.06,47.28,6.82,57.7,22.2,20.2,20.26,3.71,,,,,,,,,,,,,,,,Failed_QC,Failed_QC,,,,,,,
61078,2,TOP,61078_2_TOP,2.25,26,21.53,302.1,17.81,11.23,3.76,0.37,0.28,30,0.22,0.7,3.9,0.8,13,,,,,7.6,7.57,7.3,56.4,36.3,60.88,1.75,,,,,,,,,,,,,,,,Failed_QC,Failed_QC,Insufficient_Material,Insufficient_Material,,,,,
61078,2,BTM,61078_2_BTM,1.61,,19.07,167.74,6.69,11.03,4.72,0.73,0.16,76,0.19,0.5,1.1,0.5,8,,,0.52,1.48,7.08,7.44,5.3,61.1,33.6,60.74,1.51,,Below_Detection,,,,,,,,,,,,,,Failed_QC,Failed_QC,,,,,,,
61078,3,TOP,61078_3_TOP,1.32,87,34.17,810.39,51.05,7.02,1.53,0.07,0.3,8,0.21,2.3,60,1,22,,,5.38,5.22,3.07,6.7,13.4,56.4,30.2,37.89,3.46,,,,,,,,,,,,,,,,Failed_QC,Failed_QC,,,,,,,
61078,3,BTM,61078_3_BTM,1.58,,23.78,491.35,24.23,2.75,0.5,0.07,0.16,9,0.13,0.01,41,0.8,29,,,0.11,3.66,1.66,5.81,,,,30.96,1.34,,Insufficient_Material,,,,,,,,,,,,,,Failed_QC,Failed_QC,,,,,Insufficient_Material,,
61078,4,TOP,61078_4_TOP,1.25,84.7,42.34,541.85,44.73,8.74,1.11,0.07,0.27,5,0.3,2,14.1,1.1,111,,,6.47,5.16,4.6,6.51,14.7,48.9,36.4,40.47,3.93,,,,,,,,,,,,,,,,Failed_QC,Failed_QC,,,,,,,
61078,4,BTM,61078_4_BTM,1.49,23,31.36,332.6,18.87,4.84,0.36,0.08,0.14,10,0.19,0.2,17.7,1,73,,,0.85,6.19,1.64,5.73,15.7,50.7,33.7,21.78,2.03,,,,,,,,,,,,,,,,Failed_QC,Failed_QC,,,,,,,
61078,5,TOP,61078_5_TOP,2.32,102.8,30.95,849.38,46.41,9.56,1.8,0.05,0.39,6,0.16,3.5,22.3,1.3,58,,,0.43,5.54,2,6.14,27.2,40.6,32.2,38.17,2.92,,,,,,,,,,,,,,,,Failed_QC,Failed_QC,,,,,,,
61078,5,BTM,61078_5_BTM,1.28,,24.4,896.42,24.25,9.72,1.72,0.07,0.24,9,0.12,0.3,4,0.9,43,,,0.22,3.29,1.65,6.39,,,,30.02,1.86,,Insufficient_Material,,,,,,,,,,,,,,Failed_QC,Failed_QC,,,,,Insufficient_Material,,
61078,6,TOP,61078_6_TOP,1.41,89.8,40.43,637.46,45.64,10.62,1.18,0.08,0.32,9,0.29,1.8,29.2,1.1,112,,,2.32,10.69,3.04,6.5,16.5,48.2,35.3,56.5,4.15,,,,,,,,,,,,,,,,Failed_QC,Failed_QC,,,,,,,
61078,6,BTM,61078_6_BTM,1.26,,25.22,338.06,19.22,20.15,0.86,0.18,0.28,8,0.11,0.4,9.7,0.6,18,,,0.53,3.57,1.79,6.77,,,,24.87,1.1,,Insufficient_Material,,,,,,,,,,,,,,Failed_QC,Failed_QC,,,,,Insufficient_Material,,
61078,7,TOP,61078_7_TOP,1.54,,40.23,754.02,46.39,4.2,0.95,0.08,0.11,3,0.17,0.69,13.7,0.7,110,,,,,1.86,6.08,,,,56.84,2.6,,Insufficient_Material,,,,,,,,,,,,,,Failed_QC,Failed_QC,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,,
61078,7,BTM,61078_7_BTM,0.97,,29.87,513.45,16.58,2.3,0.82,0.1,0.09,2,0.13,0.2,13.4,0.6,84,,,0.26,5.3,1.14,5.83,,,,29.22,1.07,,Insufficient_Material,,,,,,,,,,,,,,Failed_QC,Failed_QC,,,,,Insufficient_Material,,
61078,8,TOP,61078_8_TOP,1.28,98.2,43.93,801.55,52.6,11.22,3.98,0.06,0.27,5,0.3,2.2,2.9,0.7,59,,,3.88,6.78,3.17,6.39,17.4,56.4,26.3,50.21,5.11,,,,,,,,,,,,,,,,Failed_QC,Failed_QC,,,,,,,
61078,8,BTM,61078_8_BTM,1.13,,27.78,433.72,18.16,,,,,,,,,,,,,0.15,2.63,1.31,6.73,,,,30.97,1.16,,Insufficient_Material,,,,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Failed_QC,Failed_QC,,,,,Insufficient_Material,,
61078,9,TOP,61078_9_TOP,1.86,,3.62,440.42,37.95,0.6,0.17,0.06,0.08,2,0.05,0.29,10,0.2,13,,,,,45.1,6.16,,,,19.69,1.4,,Insufficient_Material,,,,,,,,,,,,,,Failed_QC,Failed_QC,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,,
61078,9,BTM,61078_9_BTM,1.64,,4.54,347.57,15.15,0.5,0.14,0.06,0.05,2,0.03,0.11,7.4,0.2,8,,,,,24.98,5.81,,,,14.16,0.47,,Insufficient_Material,,,,,,,,,,,,,,Failed_QC,Failed_QC,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,,
61079,1,TOP,61079_1_TOP,1.9,,21.86,423.63,95.25,5.64,1.17,0.05,0.7,8,0.2,1.2,4,0.6,36,,,14.2,9.64,114.89,6.34,19.8,49.7,30.6,22.4,21.23,,Insufficient_Material,,,,,,,,,,,,,,Failed_QC,Failed_QC,,,,,,,
61079,1,BTM,61079_1_BTM,1.25,,19.05,292.03,44.69,6.68,1.41,0.05,0.34,4,0.57,1,5.5,1.1,38,,,4.39,2.59,38.36,6.82,15.7,47.6,36.7,16.45,8.36,,Insufficient_Material,,,,,,,,,,,,,,Failed_QC,Failed_QC,,,,,,,
61079,2,TOP,61079_2_TOP,1.69,,21.65,350.68,59.76,5.42,1.16,0.04,0.68,10,0.44,2.1,22.8,1.5,87,,,,,84.52,5.55,17.3,49.8,32.9,19.37,18.15,,Insufficient_Material,,,,,,,,,,,,,,Failed_QC,Failed_QC,Insufficient_Material,Insufficient_Material,,,,,
61079,2,BTM,61079_2_BTM,0.91,,19.51,256.67,50.95,5.8,1.38,0.05,0.42,6,0.61,1.2,9.4,1.3,57,,,,,40.27,6.09,,,,15.33,10.87,,Insufficient_Material,,,,,,,,,,,,,,Failed_QC,Failed_QC,Insufficient_Material,Insufficient_Material,,,Out_of_Range,,
61079,3,TOP,61079_3_TOP,2.11,,16.89,306.74,60.44,3.93,0.98,0.04,0.87,8,0.34,1.4,18.8,1.1,91,,,,,66.27,5.21,23.9,45.8,30.4,19.11,16.17,,Insufficient_Material,,,,,,,,,,,,,,Failed_QC,Failed_QC,Insufficient_Material,Insufficient_Material,,,,,
61079,3,BTM,61079_3_BTM,1.1,,18.89,362.08,44.36,6.43,1.37,0.04,0.55,3,0.67,2.3,9.9,1.3,70,,,5.54,3.58,66.38,6.21,7,54.2,38.8,16.58,8.93,,Insufficient_Material,,,,,,,,,,,,,,Failed_QC,Failed_QC,,,,,,,
61079,4,TOP,61079_4_TOP,1.66,,22.03,306.22,63.57,5.96,1.12,0.04,0.57,11,0.28,1.3,7.4,0.8,53,,,20.1,7.43,108.69,6.23,14.9,54.6,30.4,20.71,26,,Insufficient_Material,,,,,,,,,,,,,,Failed_QC,Failed_QC,,,,,,,
61079,4,BTM,61079_4_BTM,1.12,,21.22,352.57,47.94,8.95,1.46,0.04,0.43,6,0.82,1.3,5.3,1.2,46,,,79.03,12.05,56.66,6.93,,,,21.87,19.61,,Insufficient_Material,,,,,,,,,,,,,,Failed_QC,Failed_QC,,,,,Insufficient_Material,,
61079,5,TOP,61079_5_TOP,1.85,,20.27,337.21,60.23,5.48,1.14,0.02,0.52,8,0.36,1.3,14.5,1.1,74,,,,,60.11,5.79,20.1,48.6,31.3,17.03,18.57,,Insufficient_Material,,,,,,,,,,,,,,Failed_QC,Failed_QC,Insufficient_Material,Insufficient_Material,,,,,
61079,5,BTM,61079_5_BTM,1.3,,17.33,154.25,28.65,5.11,1.19,0.03,0.21,3,0.65,0.7,4.8,1,33,,,4.85,2.17,26.44,6.62,23.8,43.3,32.9,15.49,7.11,,Insufficient_Material,,,,,,,,,,,,,,Failed_QC,Failed_QC,,,,,,,
61079,6,TOP,61079_6_TOP,1.99,,19.36,376.4,75.25,4.1,1.63,0.11,0.43,2,1.82,2.47,41.3,1.6,106,,,,,49.34,4.67,10.3,52.5,37.2,14.98,23.52,,Insufficient_Material,,,,,,,,,,,,,,Failed_QC,Failed_QC,Insufficient_Material,Insufficient_Material,,,,,
