Proposal_ID,Sampling_Set,Core_Section,Sample_Name,Bulk_density_g_per_cm3,flag_Bulk_density
61555,1,BTM,61555_1_BTM,1.46,
61555,2,TOP,61555_2_TOP,1.93,
61555,2,BTM,61555_2_BTM,1.43,
61555,3,TOP,61555_3_TOP,1.66,
61555,3,BTM,61555_3_BTM,1.74,
61555,4,TOP,61555_4_TOP,1.66,
61555,4,BTM,61555_4_BTM,1.32,
61555,5,TOP,61555_5_TOP,2.02,
61555,5,BTM,61555_5_BTM,1.57,
61555,6,TOP,61555_6_TOP,1.61,
61555,6,BTM,61555_6_BTM,1.34,
61555,7,TOP,61555_7_TOP,1.87,
61555,7,BTM,61555_7_BTM,1.62,
61555,8,TOP,61555_8_TOP,1.58,
61555,8,BTM,61555_8_BTM,1.79,
61555,9,TOP,61555_9_TOP,1.59,
61555,9,BTM,61555_9_BTM,1.57,
61556,1,TOP,61556_1_TOP,2.03,
61556,1,BTM,61556_1_BTM,1.6,
61556,2,TOP,61556_2_TOP,1.92,
61556,2,BTM,61556_2_BTM,1.54,
61556,3,TOP,61556_3_TOP,2.17,
61556,3,BTM,61556_3_BTM,1.81,
61556,4,TOP,61556_4_TOP,1.98,
61556,4,BTM,61556_4_BTM,1.61,
61556,5,TOP,61556_5_TOP,2.07,
61556,5,BTM,61556_5_BTM,1.58,
61556,6,TOP,61556_6_TOP,1.82,
61556,6,BTM,61556_6_BTM,1.66,
61556,7,TOP,61556_7_TOP,2.03,
61556,7,BTM,61556_7_BTM,1.83,
61556,8,TOP,61556_8_TOP,2.05,
61556,8,BTM,61556_8_BTM,1,
61558,1,TOP,61558_1_TOP,0.63,
61558,1,BTM,61558_1_BTM,0.64,
61558,2,TOP,61558_2_TOP,0.69,
61558,2,BTM,61558_2_BTM,1.16,
